r,delta,seed,dt,rule,cycles,mean_N,median_N,integer_fraction,band1,band2,band3,event_R1,event_R2,interval_R,next2_given2,event_Omega
0.5,4.0,302,0.0025,raw,854,1.3044086705802365,1.0737432572718153,0.382903981264637,0.2962529274004684,0.08430913348946135,0.00234192037470726,0.7719062229960852,0.36670247629053826,0.4868733188178292,0.1527777777777778,1.7888054456855178
0.5,4.0,302,0.0025,hysteresis,774,1.4392312721905967,1.1182692428366963,0.42764857881136953,0.2868217054263566,0.13824289405684753,0.002583979328165375,0.8021210658745151,0.4335973984402585,0.5643581738466346,0.19626168224299065,1.6212358488999892
0.0,0.0,302,0.005,raw,481,2.3142233444397027,2.3254090221679276,0.10810810810810811,0.004158004158004158,0.0893970893970894,0.010395010395010396,0.006719043078974166,0.06010935350781873,0.3998561550986818,0.11627906976744186,1.0082576251508073
0.0,0.0,302,0.005,hysteresis,455,2.4378194943532026,2.354855191675248,0.1054945054945055,0.0,0.07472527472527472,0.01098901098901099,0.014336703347902229,0.059113436916657186,0.4039068334833017,0.08823529411764706,0.9571395005816083
0.0,2.0,302,0.005,raw,677,1.6444976412290966,1.9067091031757963,0.3190546528803545,0.18463810930576072,0.1344165435745938,0.0,0.7002813852638885,0.24544561712619334,0.4106448150095566,0.18888888888888888,1.4188730192336436
0.0,2.0,302,0.005,hysteresis,616,1.8055542241632139,2.079278896720152,0.3392857142857143,0.17207792207792208,0.16396103896103897,0.003246753246753247,0.7224633153885223,0.2994540162713155,0.45018085035013494,0.2,1.292308645238677
0.0,4.0,302,0.005,raw,980,1.1358508348389542,1.021696733662711,0.39183673469387753,0.35408163265306125,0.036734693877551024,0.0010204081632653062,0.8210447528496985,0.4486838836874953,0.532926932211618,0.027777777777777776,2.054260349832083
0.0,4.0,302,0.005,hysteresis,918,1.2125640720502997,1.038253330419522,0.42483660130718953,0.35947712418300654,0.06318082788671024,0.002178649237472767,0.8452814081404268,0.5035737829388702,0.5929098856798843,0.06896551724137931,1.9242969399447472
0.5,0.0,302,0.005,raw,477,2.3310167794335603,2.313651349972089,0.1278825995807128,0.0041928721174004195,0.10482180293501048,0.016771488469601678,0.012149367672150838,0.03378157099843472,0.35074262241047055,0.14,1.0009937954630839
0.5,0.0,302,0.005,hysteresis,454,2.4427286200255733,2.337199120268137,0.12555066079295155,0.0,0.0947136563876652,0.015418502202643172,0.012431161260651219,0.03705359759461718,0.3712789894054572,0.11627906976744186,0.9552159475287539
